"キーCD","受注品番","サプライヤーコード","メーカー品番","メーカー名","商品の説明","メーカー品名","ブランド","シリーズ","規格コード","販売開始日","日本語表記"
"6300021199","6300021199","S115841770","AP300","NIKKO","●ヘルメット装着して作業をされる方、暑さ対策を強いられる現場には必須商品です。●マジックテープで簡単！ヘルメットにワンタッチで取り付けできる汗取りパッドです。●中空の高吸収繊維により汗をすばやく吸収し、常にサラッとしたつけ心地です。
●洗って繰り返し使え、洗濯後も吸水力はほとんど変わらず経済的です。","ヘルメット用汗取りパッド　マジックテープ式",,,"4580646301816",,"MRO"
"6300021200","6300021200","S115841770","HK-5061-F","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。●洗濯して繰り返し使えるので経済的です。","綿ヤッケ　薄手　上下セット　ネイビー　ＨＫ－５０６１　Ｆ寸",,,"4520367301177",,"MRO"
"6300021201","6300021201","S115841770","HK-5061-O","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。●洗濯して繰り返し使えるので経済的です。","綿ヤッケ　薄手　上下セット　ネイビー　ＨＫ－５０６１　Ｏ寸",,,"4520367301184",,"MRO"
"6300021202","6300021202","S115841770","HK-506-F","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。","塗装服　綿１００％　ファスナー付ポケット　上下セット　ＨＫ－５０６　Ｆ寸",,,"4520367301078",,"MRO"
"6300021203","6300021203","S115841770","HK-506-O","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。","塗装服　綿１００％　ファスナー付ポケット　上下セット　ＨＫ－５０６　Ｏ寸",,,"4520367301085",,"MRO"
"6300021204","6300021204","S115841770","HK-502-F","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。","塗装服　薄綿　上下セット　ＨＫ－５０２　Ｆ寸",,,"4520367300071",,"MRO"
"6300021205","6300021205","S115841770","HK-502-O","NIKKO","●綿100%の塗装服は、天然素材の快適な着心地です。●塗装作業やその他の汚れ作業に適しています。","塗装服　薄綿　上下セット　ＨＫ－５０２　Ｏ寸",,,"4520367300088",,"MRO"
"6300021206","6300021206","S115841770","HDL-PLS001","ヒロ・コーポレーション","●水回りをピッカピカに、電動パワーで威力を発揮します。
●生活防水IPX5、アタッチメントが3種類付、場所や用途にあわせて使い分けできます。
●収納に便利な壁掛けフック付きです。
電池式コードレスなのでお手軽♪とても軽くて掃除がしやすい","電動ハンディポリッシャー　ＨＤＬ－ＰＬＳ００１",,,"4562350984769",,"MRO"
"6300021207","6300021207","S115841770","PR-104","ヒロ・コーポレーション","●充電式でコードレスなのでどこでも使えて便利です。
●ウォッシャブル仕様で水で洗えて使った後のお手入れも楽々です。
●セラミックコート刃使用できれいな仕上がりになります。
●10段階刈り高調整2アタッチメント付です。","ウォッシャブル充電式バリカン　ＰＲ－１０４",,,"4562351024846",,"MRO"
"6300021208","6300021208","S115841770","RS-E1628","レッドスパイス","●手をかざすだけで自然に開く、便利なセンサー式ゴミ箱！自動で閉まる便利な機能付きです。
●縦横17cm、高さ13.5cmのコンパクトサイズなのに、しっかり入る4Lサイズです。
●車内に、ベッドに、キッチンに、デスクに、様々な場所でお使いいただけます。
●ゴミ箱として使わずに小物入れとして使うことも、調味料や化粧品を入れれば、汚れた手で蓋に触れる必要なく取り出すことができます。
さらに、料理中にゴミ箱の口を開けっぱなしにしておきたいときはボタンを押すだけで開き状態を保つことも可能です。","センサー式ごみ箱４Ｌ　ＲＳ－Ｅ１６２８",,,"4582548298287",,"MRO"
"6300021209","6300021209","S115841770","HAC2892","HAC","●網を置いてBBQコンロにしたり、網を外して焚き火台にしたり、様々なアウトドアシーンに便利な焚き火グリルです。●クロス型をした焼き網の設置方法で、コンロの隅から炭の調整がしやすくなっております。●持ち運びに便利な収納バッグ付属で持ち運びも楽々です。","アウトドア焚き火グリル",,,"4573110525870",,"MRO"
"6300021210","6300021210","S115841770","HAC2893","HAC","●安定感抜群のピラミッド型バーベキューグリルです。●焼き網付きですぐにBBQを楽しめます。●焼き網を外して焚き火台として使用できるので、キャンプ場で大活躍です。●折りたたみ式でフラットに収納可能です。●持ち運びに便利な収納バッグ付きです。","折りたたみＢＢＱグリル",,,"4573110525887",,"MRO"
"6300021211","6300021211","S115841770","HAC2970","HAC","●焚き火・火起こしができる2WAY式コンロです。●ミニサイズの焼き網付きでBBQも楽しめます。●煙突効果で燃焼効率がUP！燃料の投入口の開閉ができるので、火加減の微調整が可能です。●収納バッグ付きで携帯製が抜群です。","焚き火＆ミニグリル",,,"4573110526655",,"MRO"
"6300021213","6300021213","S115841770","HAC1006","HAC","●洋服や手を汚さず、何度も繰り返し遊べるお絵かきボードです。●自由自在に絵を描いて、ハート型やほし型など4種類の可愛いスタンプ付きです。●大画面で描きやすく、マグネットペンは紐付きで無くしにくいです。●小さなお子様でも安心して遊べます。","カラフルお絵かきボード",,,"4580278050588",,"MRO"
"6300021214","6300021214","S115841770","HAC2869","HAC","●アルファベットや数字のマグネットを貼り付けて学習したり、ホワイトボードに楽しくお絵描きできます。●ブラックボードも付属しているのでチョークで落書きもできます。●持ち運び可能なケースに収納できるので片付けが楽々です。●お父さんやお母さんや先生と一緒に、楽しみながら英語や数字を学習できます。","２ｉｎ１お絵かきボード",,,"4573110525672",,"MRO"
"6300021886","6300021886","S115841770","9138","結一産業","お好みの長さにカットして使用できる仮排水用の簡易ホースなどに使用できます。長尺製品の梱包や保護にも使用して頂けます。","ポリチューブ　０．１ｘ１５０ｍｍｘ５０ｍ　１２巻セット（９１３８）",,,"4580646308075",,"MRO"
"6300021887","6300021887","S115841770","9139","結一産業","お好みの長さにカットして使用できる仮排水用の簡易ホースなどに使用できます。長尺製品の梱包や保護にも使用して頂けます。","ポリチューブ　０．１ｘ２００ｍｍｘ５０ｍ　６巻セット（９１３９）",,,"4580646308082",,"MRO"
"6300021888","6300021888","S115841770","9140","結一産業","お好みの長さにカットして使用できる仮排水用の簡易ホースなどに使用できます。長尺製品の梱包や保護にも使用して頂けます。","ポリチューブ　０．１ｘ２５０ｍｍｘ５０ｍ　６巻セット（９１４０）",,,"4580646308099",,"MRO"
"6300021889","6300021889","S115841770","9141","結一産業","お好みの長さにカットして使用できる仮排水用の簡易ホースなどに使用できます。長尺製品の梱包や保護にも使用して頂けます。","ポリチューブ　０．１ｘ３００ｍｍｘ５０ｍ　６巻セット（９１４１）",,,"4580646308105",,"MRO"
"6300021890","6300021890","S115841770","9142","結一産業","お好みの長さにカットして使用できる仮排水用の簡易ホースなどに使用できます。長尺製品の梱包や保護にも使用して頂けます。","ポリチューブ　０．１ｘ３５０ｍｍｘ５０ｍ　６巻セット（９１４２）",,,"4580646308112",,"MRO"
"6300021885","6300021885","S115841770","DS-011","レッドスパイス","両面加熱仕様のあったかいバッテリーで、繰り返し使用できる「あったか充電式カイロ」になります。温度と容量が見えるインジケーター付きで、45～55℃の3段階調整できます。モバイルバッテリーとしても使用できる2Way仕様になります。","あったか充電カイロ　グリーン　ＤＳ－０１１",,,"4582548285522",,"MRO"
"6300021891","6300021891","S115841770","9143","結一産業","お好みの長さにカットして使用できる仮排水用の簡易ホースなどに使用できます。長尺製品の梱包や保護にも使用して頂けます。","ポリチューブ　０．１ｘ５５０ｍｍｘ５０ｍ　２巻セット（９１４３）",,,"4580646308129",,"MRO"
"6300021892","6300021892","S115841770","s-3s2","結一産業","ステンレス製で雪・雨などで回転部が錆びにくく、寒冷地でも長期使用できるようにした吹き流し本体のからまりを防止するための回転式の金具です。また、ステンレスと鉄を組合せることでコストパフォーマンスにも優れている商品になりました。48.6φ単管に使用可能です。","吹き流しＫＩＮＧ（金具）　ｓ－３ｓ２",,,"4580646308136",,"MRO"
"6300021893","6300021893","S115841770","1003","結一産業","シート設置の手間を少しでも減らす為に紐付になったフェンス用の目隠しシートになります。安全第一の文字が印刷されています。","フェンスシート紐付　安全第一　５０枚セット　１００３",,,"4580646308143",,"MRO"
"6300021894","6300021894","S115841770","1004","結一産業","シート設置の手間を少しでも減らす為に紐付になったフェンス用の目隠しシートになります。無地タイプになります。","フェンスシート紐付　無地　５０枚セット　１００４",,,"4580646308150",,"MRO"
"6300021895","6300021895","S115841770","4261","結一産業","現場社旗・安全旗を取り付けるための道具セットになります。工事現場や各種イベントに採用されています。単管48.6Φ対応タイプになります。滑車可動タイプのためロープが風の摩擦で切れにくくなっています。","ＰＫＲセット（プーリキャップ・クリート・ロープ）　４２６１",,,"4580646308167",,"MRO"
"6300021221","6300021221","S115841770","OY-FF60-S","フジファインズ","必要なのは水道水だけで、簡単にオゾン水をつくれます。最短60秒でオゾン水を生成する携帯型スプレーで、持ち運びしやすいタンブラータイプです。残留物がゼロなので安心して使用頂けます。食品や食器からテーブル、ドアノブから、人体にも影響なく、あらゆるものに使用可能で除菌消臭が行えます。                                                                                                                                                                                                                                                                ","マルチオゾンボトル＆スプレーＲ　ＯＹ－ＦＦ６０－Ｓ",,,"4573467260134",,"MRO"
"6300021222","6300021222","S115841770","OY-FF62-B","フジファインズ","必要なのは水道水だけで、簡単にオゾン水をつくれます。最短210秒で業界最高4.2ppmのオゾン水を生成します。シャワーミストタイプで超微細ミストが広範囲に連続で噴霧可能です。残留物がゼロなので安心して使用頂けます。食品や食器からテーブル、ドアノブから、人体にも影響なく、あらゆるものに使用可能で除菌消臭が行えます。","マルチオゾンボトル＆スプレーＰｒｏ　ＯＹ－ＦＦ６２－Ｂ",,,"4573467260172",,"MRO"
"6300021223","6300021223","S115841770","OY-FF90-A","フジファインズ","高純度オゾンと加湿機能で除菌消臭を行います。フジファインズ独自技術でヒト・モノに無害且つ独特のニオイを抑えたオゾンを生成します。勤務中のオフィスや使用後の会議室など、状況に応じて空間除菌モードを選べます。8～32畳までの空間に対応しております。床・テーブル・イスなどの付着菌もオゾンで除菌するので、アルコール消毒不要です。加湿機能も搭載しており、オールシーズンに対応できます。メンテナンスはフィルター交換のみで、日々のクリーニングは必要ありません。","オゾン除菌加湿器　Ｏ３Ｍａｘ　Ａｉｒ　ＯＹ－ＦＦ９０－Ａ",,,"4573467260288",,"MRO"
"6300021224","6300021224","S115841770","OY-FF90-S","フジファインズ","オゾン除菌加湿器 O3MAX Air専用のオゾン発生セルです。","Ｏ３Ｍａｘ　Ａｉｒセル　ＯＹ－ＦＦ９０－Ｓ",,,"4573467260332",,"MRO"
